NCT ID	Raw CT.gov Conditions	First PMID	All MeSH Terms
NCT06917040	Vector Borne Diseases | Leishmaniasis, Cutaneous	40611204	Adolescent | Adult | Animals | Child | Female | Humans | Male | Middle Aged | Young Adult | Insect Repellents / therapeutic use | Leishmaniasis, Cutaneous / prevention & control | Psychodidae | Syria / epidemiology | Vector Borne Diseases / prevention & control | Cyclopropanes | Fluorobenzenes
NCT00569361	Allergic Rhinitis	22005912	(no MeSH)
NCT06197646	Inhalation | Respiratory Disease	17200287	Child | Child Development | Child Rearing | Child, Preschool | Humans | Parent-Child Relations | Parenting | Parents / psychology | Pediatrics | Physician's Role | Play and Playthings | Psychology, Child | Stress, Psychological
NCT00637689	Chronic Graft Versus Host Disease	34126278	Bronchiolitis Obliterans / etiology | Graft vs Host Disease | Hematopoietic Stem Cell Transplantation / adverse effects | Humans | Lung Transplantation | Matrix Metalloproteinase 9
NCT03548402	Nonsuicidal Self-Injury | Anxiety	20580437	Adolescent | Adult | Anxiety / diagnosis | Child | Depression / diagnosis | Disability Evaluation | Factor Analysis, Statistical | Female | Humans | Male | Middle Aged | Predictive Value of Tests | Psychometrics | Quality of Life | Reproducibility of Results | Retrospective Studies | Self-Injurious Behavior / complications | Sensitivity and Specificity | Surveys and Questionnaires | Young Adult
NCT02482844	Post-TAVI	27797979	Adult | Algorithms | Aortic Valve / pathology | Bundle-Branch Block / diagnosis | Cardiac Catheterization / adverse effects | Cardiac Conduction System Disease | Clinical Decision-Making / methods | Electrocardiography | Electrophysiological Phenomena | Heart / physiopathology | Heart Valve Prosthesis | Humans | Monitoring, Physiologic | Pacemaker, Artificial | Postoperative Complications / diagnosis | Prognosis | Research Design | Transcatheter Aortic Valve Replacement / adverse effects | Treatment Outcome
NCT01548313	Lactation | Pregnancy	28894126	Bacteria / classification | Child Development | Female | Gastrointestinal Microbiome | Gastrointestinal Tract / microbiology | Humans | Infant | Infant, Newborn | Male | Microbiota | Slovenia | Time Factors
NCT02706093	Glucose Intolerance	32492705	Adaptation, Physiological | Adult | Exercise / physiology | Female | High-Intensity Interval Training | Humans | Insulin / metabolism | Insulin Resistance / physiology | Male | Muscle, Skeletal / metabolism | Obesity / metabolism | Sedentary Behavior | Treatment Outcome | Young Adult
NCT00973908	Diarrhoea	12052801	Anti-Bacterial Agents / adverse effects | Child | Diarrhea / chemically induced | Humans | Odds Ratio | Probiotics / therapeutic use | Randomized Controlled Trials as Topic | Treatment Outcome
NCT00847158	Primary Open Angle Glaucoma and Cataracts	26587282	(no MeSH)
