NCT ID	Raw CT.gov Conditions	First PMID	Disease MeSH (tree C*/F03*)	ICD-10 Match
NCT06917040	Vector Borne Diseases | Leishmaniasis, Cutaneous	40611204	Leishmaniasis, Cutaneous / prevention & control	-
NCT00569361	Allergic Rhinitis	22005912	(none)	-
NCT06197646	Inhalation | Respiratory Disease	17200287	(none)	-
NCT00637689	Chronic Graft Versus Host Disease	34126278	Bronchiolitis Obliterans / etiology	-
NCT03548402	Nonsuicidal Self-Injury | Anxiety	20580437	(none)	-
NCT02482844	Post-TAVI	27797979	Bundle-Branch Block / diagnosis	-
NCT01548313	Lactation | Pregnancy	28894126	(none)	-
NCT02706093	Glucose Intolerance	32492705	Insulin Resistance / physiology | Obesity / metabolism	E66
NCT00973908	Diarrhoea	12052801	(none)	-
NCT00847158	Primary Open Angle Glaucoma and Cataracts	26587282	(none)	-
NCT04005664	Cesarean Section Complications | Anesthesia Complication	29090733	(none)	-
NCT03543423	Healthy	34479362	(none)	-
NCT05671809	Rectal Cancer	33538338	(none)	-
NCT06326502	Liver Cancer | Advanced Hepatocellular Carcinoma | Hepatocellular Carcinoma	35454900	(none)	-
NCT05495490	Maxillary Sinus Floor Augmentation	30427961	(none)	-
NCT00987454	Traumatic Brain Injury	39301879	Acute Kidney Injury / prevention & control	N17
NCT04465097	Breast Cancer	31036468	Bone Neoplasms / drug therapy | Breast Neoplasms / drug therapy | Liver Neoplasms / drug therapy | Lung Neoplasms / drug therapy | Neoplasm Recurrence, Local / drug therapy	C50, C22, C34, Z85
NCT00046436	HIV Infections	9624029	HIV Infections / prevention & control | Pregnancy Complications, Infectious / prevention & control	B20
NCT07292246	Hereditary Breast Carcinoma | Germline Mutation Abnormality | DCIS | BRCA 2 Gene Mutation | Early Breast Cancer | BRCA 1 Gene Mutation | Breast Cancer | Breast Neoplasms	28692558	Breast Neoplasms / surgery	C50
NCT00517400	Post Traumatic Stress Disorder	22921765	(none)	-
NCT05962801	Smoking, Cigarette | Non-surgical Periodontal Therapy | Dual- Light Photodynamic Therapy | Periodontitis	34033939	(none)	-
NCT01958320	Patent Ductus Arteriosus | Surgery | Necrotizing Enterocolitis | Intestinal Perforation	30340932	Ductus Arteriosus, Patent / classification	-
NCT04188002	Nutrition | Physical Activity	2260540	Obesity / blood	E66
NCT03905317	Lung Adenocarcinoma	7799047	Lymphatic Metastasis	-
NCT00437138	Coronary Heart Disease	24667535	Arrhythmias, Cardiac / chemically induced | Coronary Disease / chemically induced	-
